username,repo_name,stars,repu_url
mrdoob,three.js,87800,https://github.com/mrdoob/three.js
libgdx,libgdx,20900,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,20800,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,19000,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,15500,https://github.com/ssloy/tinyrenderer
aframevr,aframe,14900,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,14200,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,12800,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,9700,https://github.com/CesiumGS/cesium
metafizzy,zdog,9500,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,8600,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,7800,https://github.com/isl-org/Open3D
blender,blender,7300,https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator,7300,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,5900,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,5300,https://github.com/FyroxEngine/Fyrox
openscad,openscad,5200,https://github.com/openscad/openscad
google,model-viewer,5200,https://github.com/google/model-viewer
spritejs,spritejs,5100,https://github.com/spritejs/spritejs
jagenjo,webglstudio.js,4800,https://github.com/jagenjo/webglstudio.js
