username,repo_name,stars,repu_url
arendst,Tasmota,18900,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,14200,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13300,https://github.com/arduino/Arduino
rwaldron,johnny-five,12900,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,12100,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,11100,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9900,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,8100,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8000,https://github.com/hybridgroup/gobot
platformio,platformio-core,6500,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6000,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5600,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3800,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3700,https://github.com/arduino/arduino-cli
blynkkk,blynk-library,3600,https://github.com/blynkkk/blynk-library
olikraus,u8g2,3500,https://github.com/olikraus/u8g2
NectarJS,nectarjs,3400,https://github.com/NectarJS/nectarjs
ClemensElflein,OpenMower,3400,https://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,3000,https://github.com/Serial-Studio/Serial-Studio
